millsonia;chuniodrilus;azote;bmaer;bmrac
FALSE;FALSE;0;4.6;1.5
FALSE;FALSE;0;5.4;1.8
FALSE;FALSE;0;3.7;1.3
FALSE;FALSE;25;4.3;1.9
FALSE;FALSE;25;3.2;0.8
FALSE;FALSE;25;4.9;1.6
FALSE;FALSE;100;3.4;0.9
FALSE;FALSE;100;3.8;0.9
FALSE;FALSE;100;4.8;1.7
FALSE;FALSE;400;5.7;2
FALSE;FALSE;400;6.4;2.1
FALSE;FALSE;400;7.9;2.3
FALSE;FALSE;1600;9.7;2
FALSE;FALSE;1600;5.7;0.6
FALSE;FALSE;1600;6.2;0.7
TRUE;FALSE;0;6.2;2.5
TRUE;FALSE;0;3.5;0.7
TRUE;FALSE;0;6.7;2.6
TRUE;FALSE;25;5.9;2.2
TRUE;FALSE;25;5.4;2.2
TRUE;FALSE;25;5.3;2
TRUE;FALSE;100;6.6;3.1
TRUE;FALSE;100;5.9;2.7
TRUE;FALSE;100;6.6;2.9
TRUE;FALSE;400;5.4;1.9
TRUE;FALSE;400;6.6;2.6
TRUE;FALSE;400;4.2;0.6
TRUE;FALSE;1600;9;2.2
TRUE;FALSE;1600;8;1.5
TRUE;FALSE;1600;9.3;1.9
FALSE;TRUE;0;5.3;1.7
FALSE;TRUE;0;3.2;0.5
FALSE;TRUE;0;5.7;2.2
FALSE;TRUE;25;5.7;2
FALSE;TRUE;25;3.8;1.1
FALSE;TRUE;25;4.4;1.2
FALSE;TRUE;100;3.3;0.5
FALSE;TRUE;100;4.8;1.5
FALSE;TRUE;100;5.6;2.2
FALSE;TRUE;400;5.8;2
FALSE;TRUE;400;7.3;2.8
FALSE;TRUE;400;6.3;1.7
FALSE;TRUE;1600;9.4;2.3
FALSE;TRUE;1600;8.1;2.1
FALSE;TRUE;1600;7.9;1.6
TRUE;TRUE;0;6.1;2.4
TRUE;TRUE;0;6.2;2.6
TRUE;TRUE;0;5.6;2.7
TRUE;TRUE;25;5.6;2.2
TRUE;TRUE;25;3.9;0.8
TRUE;TRUE;25;6.3;2.7
TRUE;TRUE;100;4.8;1.3
TRUE;TRUE;100;4;0.8
TRUE;TRUE;100;6.4;2.1
TRUE;TRUE;400;5.7;1.4
TRUE;TRUE;400;7.3;3.2
TRUE;TRUE;400;8.5;3.4
TRUE;TRUE;1600;7.2;1.3
TRUE;TRUE;1600;8.8;2.3
TRUE;TRUE;1600;11.5;3.6
